Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
gpu__compute_memory_access_throughput_internal_activity                     Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity 
fbpa__dram_read_throughput                                                  FBPA read throughput                                                                                
dram__throughput                                                            DRAM throughput                                                                                     
gpu__compute_memory_request_throughput                                      Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM                    
sm__memory_throughput                                                       SM memory instruction throughput assuming ideal load balancing across SMSPs                         
gpu__compute_memory_throughput                                              Compute Memory Pipeline Throughput                                                                  
lts__throughput_internal_activity                                           LTS throughput, internal activity                                                                   
sm__instruction_throughput                                                  SM core instruction throughput assuming ideal load balancing across SMSPs                           
fbpa__throughput                                                            FBPA throughput                                                                                     
gpu__compute_memory_request_throughput_internal_activity                    Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity 
lts__throughput                                                             LTS throughput                                                                                      
fbpa__dram_write_throughput                                                 FBPA write throughput                                                                               
l1tex__throughput                                                           L1TEX Throughput                                                                                    
sm__memory_throughput_internal_activity                                     SM memory instruction throughput assuming ideal load balancing across SMSPs, internal activity      
gpu__dram_throughput                                                        GPU DRAM throughput                                                                                 
sm__instruction_throughput_internal_activity                                SM core instruction throughput assuming ideal load balancing across SMSPs, internal activity        
sm__throughput                                                              SM throughput assuming ideal load balancing across SMSPs                                            
l1tex__throughput_internal_activity                                         L1TEX Throughput, internal activity                                                                 
gpu__compute_memory_access_throughput                                       Compute Memory Pipeline : throughput of internal activity within caches and DRAM                    
lts__t_requests_aperture_sysmem_op_atom_lookup_miss                         # of LTS requests accessing system memory (sysmem) for all atomics that missed                      
sm__cycles_in_frame                                                         # of cycles in user-defined frame                                                                   
sm__mioc_inst_issued                                                        # of instructions issued from SMSP to MIO Control stage                                             
lts__t_sectors_aperture_device_op_red                                       # of LTS sectors accessing device memory (vidmem) for reductions                                    
lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar_lookup_hit              # of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers that hit         
gpu__draw_count                                                             # of draw calls sent to GPU                                                                         
smsp__inst_executed_op_generic_atom_dot_cas_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: ATOM.CAS, ATOMG.CAS           
l1tex__t_requests_pipe_lsu_mem_global_op_ld                                 # of requests sent to T-Stage for global loads                                                      
lts__t_requests_aperture_device_op_atom_dot_alu                             # of LTS requests accessing device memory (vidmem) for atomic ALU (non-CAS)                         
l1tex__texin_requests_mem_texture_op_null                                   # of requests sent to TEXIN for null texture instructions                                           
lts__t_requests_srcunit_tex_aperture_peer_op_read_lookup_miss               # of LTS requests from unit TEX accessing peer memory (peermem) for reads that missed               
l1tex__t_requests_pipe_lsu_mem_local_op_ld                                  # of requests sent to T-Stage for local loads                                                       
fbpa__cycles_in_region                                                      # of cycles in user-defined region                                                                  
lts__t_requests_aperture_peer_op_atom_lookup_miss                           # of LTS requests accessing peer memory (peermem) for all atomics that missed                       
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_hit       # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that hit             
lts__t_requests_aperture_peer_op_atom_dot_alu                               # of LTS requests accessing peer memory (peermem) for atomic ALU (non-CAS)                          
lts__t_requests_srcunit_tex_op_red                                          # of LTS requests from unit TEX for reductions                                                      
lts__t_requests_srcunit_tex_aperture_peer_op_membar                         # of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers                 
l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_ld                            # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for surface  
                                                                            loads                                                                                               
lts__t_requests_srcunit_l1_aperture_sysmem_op_membar_lookup_miss            # of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers that missed     
lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_hit                   # of LTS sectors accessing device memory (vidmem) for atomic CAS that hit                           
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss                       # of sector requests to T-Stage that missed for local loads                                         
smsp__inst_executed_pipe_fp64_pred_on_any                                   # of warp instructions executed by fp64 with at least 1 thread predicated on                        
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld                            # of LDS wavefronts processed by Data-Stage                                                         
lts__t_requests_aperture_peer                                               # of LTS requests accessing peer memory (peermem)                                                   
lts__t_requests_srcunit_l1_aperture_device_op_red                           # of LTS requests from unit L1 accessing device memory (vidmem) for reductions                      
lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_hit               # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that hit            
lts__t_sectors_srcunit_l1_op_membar_lookup_miss                             # of LTS sectors from unit L1 for memory barriers that missed                                       
smsp__inst_executed_op_local_ld_pred_off_all                                # of warp instructions executed with all threads predicated off: LDL                                
smsp__inst_executed_op_shared_atom_dot_alu_pred_off_all                     # of warp instructions executed with all threads predicated off: ATOMS.ALU (non-CAS)                
smsp__sass_inst_executed_op_shared_atom                                     # of warp instructions executed: ATOMS ATOM                                                         
l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_miss                         # of bytes requested that missed for local loads                                                    
lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_miss             # of LTS requests from unit TEX accessing device memory (vidmem) for reads that missed              
lts__t_requests_aperture_device_op_membar_lookup_miss                       # of LTS requests accessing device memory (vidmem) for memory barriers that missed                  
l1tex__t_bytes_lookup_miss                                                  # of bytes requested that missed                                                                    
smsp__thread_inst_executed_pred_off                                         # of thread instructions executed where guard predicate was false                                   
sm__inst_executed                                                           # of warp instructions executed                                                                     
l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_hit                      # of bytes requested with tag-hit and data-hit for surface atomics                                  
lts__t_sectors_srcunit_l1_aperture_device_op_read_lookup_hit                # of LTS sectors from unit L1 accessing device memory (vidmem) for reads that hit                   
lts__t_requests_srcunit_tex_aperture_device_op_write                        # of LTS requests from unit TEX accessing device memory (vidmem) for writes                         
l1tex__t_bytes_pipe_tex_mem_surface_op_ld                                   # of bytes requested for surface loads                                                              
lts__t_sectors_aperture_sysmem_op_membar_lookup_miss                        # of LTS sectors accessing system memory (sysmem) for memory barriers that missed                   
lts__t_sectors_aperture_sysmem_op_atom_dot_cas_lookup_hit                   # of LTS sectors accessing system memory (sysmem) for atomic CAS that hit                           
lts__t_sectors_op_atom_dot_cas_lookup_hit                                   # of LTS sectors for atomic CAS that hit                                                            
l1tex__t_sectors_pipe_tex_mem_texture_op_tex_lookup_miss                    # of sector requests to T-Stage that missed for TEX instructions                                    
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit       # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS that hit             
l1tex__t_bytes_pipe_lsu_mem_global_op_ld                                    # of bytes requested for global loads                                                               
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld                               # of sectors read from L2 into L1TEX M-Stage for local/global loads                                 
lts__t_requests_aperture_sysmem_lookup_miss                                 # of LTS requests accessing system memory (sysmem) that missed                                      
lts__t_requests_srcunit_l1_lookup_hit                                       # of LTS requests from unit L1 that hit                                                             
lts__t_requests_aperture_peer_op_read                                       # of LTS requests accessing peer memory (peermem) for reads                                         
lts__t_sectors_srcunit_l1_aperture_sysmem                                   # of LTS sectors from unit L1 accessing system memory (sysmem)                                      
l1tex__t_requests_pipe_lsu                                                  # of requests sent to T-Stage from the LSU instruction pipeline                                     
smsp__warps_issue_stalled_math_pipe_throttle                                cumulative # of warps waiting for an execution pipe to be available                                 
smsp__sass_thread_inst_executed_op_fadd_pred_on                             # of FADD thread instructions executed where all predicates were true                               
smsp__sass_thread_inst_executed_op_hadd_pred_on                             # of HADD thread instructions executed where all predicates were true                               
lts__t_sectors_aperture_peer_op_write_lookup_miss                           # of LTS sectors accessing peer memory (peermem) for writes that missed                             
tpc__cycles_elapsed                                                         # of cycles where TPC was active                                                                    
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom                         # of sectors read from L2 into L1TEX M-Stage for global atomics                                     
l1tex__data_bank_conflicts_pipe_lsu_cmd_read                                # of data bank conflicts generated by LSU reads                                                     
lts__t_sectors_aperture_sysmem_op_read                                      # of LTS sectors accessing system memory (sysmem) for reads                                         
smsp__inst_executed_op_local_ld                                             # of warp instructions executed: LDL                                                                
lts__t_requests_aperture_sysmem_op_red_lookup_hit                           # of LTS requests accessing system memory (sysmem) for reductions that hit                          
l1tex__m_xbar2l1tex_read_bytes                                              # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage              
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_red                  # of bytes requested for global reductions                                                          
lts__t_sectors_srcunit_l1_op_red                                            # of LTS sectors from unit L1 for reductions                                                        
smsp__warps_issue_stalled_misc                                              cumulative # of warps waiting on a miscellaneous hardware reason                                    
l1tex__t_sectors_pipe_tex_mem_texture_op_tex                                # of sectors requested for TEX instructions                                                         
smsp__inst_executed_pipe_tensor                                             # of warp instructions executed by tensor pipe                                                      
fbpa__dram_read_sectors                                                     # of DRAM read sectors                                                                              
lts__t_sectors_srcunit_l1_op_write                                          # of LTS sectors from unit L1 for writes                                                            
smsp__sass_inst_executed_op_memory_16b                                      # of warp instructions executed by memory instructions with width 16 bit                            
l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit                    # of sector requests to T-Stage with tag-hit and data-hit for surface atomics                       
l1tex__data_pipe_tex_wavefronts                                             # of texture + surface read wavefronts processed by Data-Stage                                      
smsp__inst_executed_op_shared_atom_pred_on_any                              # of warp instructions executed with at least 1 thread predicated on: ATOMS.*                       
lts__t_sectors_srcunit_l1_op_atom_lookup_miss                               # of LTS sectors from unit L1 for all atomics that missed                                           
lts__t_requests_srcunit_l1                                                  # of LTS requests from unit L1                                                                      
l1tex__t_bytes_pipe_tex_mem_surface                                         # of bytes requested for surface                                                                    
smsp__mio2rf_writeback_active                                               # of cycles where the MIO to register file writeback interface was active                           
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_miss              # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that missed         
lts__t_requests_aperture_peer_op_red_lookup_hit                             # of LTS requests accessing peer memory (peermem) for reductions that hit                           
l1tex__data_bank_conflicts_pipe_lsu_cmd_write                               # of data bank conflicts generated by LSU writes                                                    
smsp__inst_executed_op_surface_atom_dot_alu                                 # of warp instructions executed: SUATOM.ALU (non-CAS)                                               
smsp__sass_thread_inst_executed_op_memory_pred_on                           # of memory thread instructions executed where all predicates were true                             
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu_lookup_hit        # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS) that hit    
lts__t_requests_aperture_sysmem_op_red                                      # of LTS requests accessing system memory (sysmem) for reductions                                   
lts__t_requests_aperture_sysmem_op_write_lookup_miss                        # of LTS requests accessing system memory (sysmem) for writes that missed                           
lts__t_requests_aperture_peer_op_membar_lookup_miss                         # of LTS requests accessing peer memory (peermem) for memory barriers that missed                   
smsp__inst_executed_pipe_adu                                                # of warp instructions executed by adu pipe                                                         
lts__t_requests_aperture_peer_op_read_lookup_miss                           # of LTS requests accessing peer memory (peermem) for reads that missed                             
smsp__inst_executed_pipe_xu                                                 # of warp instructions executed by xu pipe                                                          
